township,precinct,ballots_cast,reg_voters,pres_d,pres_r,pres_total,pres_d_pct,pres_r_pct,sen_d,sen_r,sen_total,sen_d_pct,sen_r_pct,house_d,house_r,house_total,house_d_pct,house_r_pct,srep_d,srep_r,srep_total,srep_d_pct,srep_r_pct
Barberton,BARBERTON 1-A,600,935,226,363,595,37.98,61.01,254,312,589,43.12,52.97,238,342,580,41.03,58.97,213,352,565,37.7,62.3
Barberton,BARBERTON 1-B,572,867,216,343,569,37.96,60.28,229,312,564,40.6,55.32,234,323,557,42.01,57.99,209,332,541,38.63,61.37
Barberton,BARBERTON 1-C,606,873,234,363,604,38.74,60.1,262,306,593,44.18,51.6,254,331,585,43.42,56.58,236,340,576,40.97,59.03
Barberton,BARBERTON 2-A,572,904,259,301,566,45.76,53.18,272,255,557,48.83,45.78,265,282,547,48.45,51.55,242,289,531,45.57,54.43
Barberton,BARBERTON 2-B,646,923,284,345,641,44.31,53.82,309,285,629,49.13,45.31,296,322,618,47.9,52.1,287,319,606,47.36,52.64
Barberton,BARBERTON 2-C,723,944,320,383,711,45.01,53.87,351,340,713,49.23,47.69,333,364,697,47.78,52.22,287,401,688,41.72,58.28
Barberton,BARBERTON 3-A,725,1148,428,281,719,59.53,39.08,443,242,707,62.66,34.23,450,250,700,64.29,35.71,426,264,690,61.74,38.26
Barberton,BARBERTON 3-B,652,1019,368,272,645,57.05,42.17,378,246,645,58.6,38.14,380,256,636,59.75,40.25,355,262,617,57.54,42.46
Barberton,BARBERTON 3-C,859,1027,376,456,844,44.55,54.03,400,429,843,47.45,50.89,395,438,833,47.42,52.58,354,447,801,44.19,55.81
Barberton,BARBERTON 4-A,658,1195,297,351,654,45.41,53.67,307,294,644,47.67,45.65,325,308,633,51.34,48.66,294,319,613,47.96,52.04
Barberton,BARBERTON 4-B,772,1173,344,409,762,45.14,53.67,378,332,752,50.27,44.15,373,357,730,51.1,48.9,347,369,716,48.46,51.54
Barberton,BARBERTON 5-A,775,1179,297,458,770,38.57,59.48,339,388,758,44.72,51.19,325,419,744,43.68,56.32,288,440,728,39.56,60.44
Barberton,BARBERTON 5-B,732,1167,284,436,723,39.28,60.3,296,363,707,41.87,51.34,305,395,700,43.57,56.43,279,400,679,41.09,58.91
Barberton,BARBERTON 6-A,827,1245,304,508,820,37.07,61.95,324,445,806,40.2,55.21,318,474,792,40.15,59.85,282,480,762,37.01,62.99
Barberton,BARBERTON 6-B,963,1231,387,554,953,40.61,58.13,421,487,941,44.74,51.75,410,522,932,43.99,56.01,369,534,903,40.86,59.14
Bath,BATH TWP A,860,1021,357,475,845,42.25,56.21,375,451,845,44.38,53.37,337,495,832,40.5,59.5,287,539,826,34.75,65.25
Bath,BATH TWP B,829,988,351,453,813,43.17,55.72,381,410,813,46.86,50.43,342,462,804,42.54,57.46,291,502,793,36.7,63.3
Bath,BATH TWP C,843,982,417,404,837,49.82,48.27,427,395,832,51.32,47.48,406,410,816,49.75,50.25,351,458,809,43.39,56.61
Bath,BATH TWP D,1068,1270,496,543,1057,46.93,51.37,515,516,1057,48.72,48.82,463,578,1041,44.48,55.52,427,604,1031,41.42,58.58
Bath,BATH TWP E,788,938,392,379,781,50.19,48.53,401,348,769,52.15,45.25,380,385,765,49.67,50.33,331,428,759,43.61,56.39
Bath,BATH TWP F,808,977,413,365,796,51.88,45.85,425,355,793,53.59,44.77,400,385,785,50.96,49.04,313,391,704,44.46,55.54
Bath,BATH TWP G,798,973,394,388,791,49.81,49.05,394,380,787,50.06,48.28,368,405,773,47.61,52.39,325,446,771,42.15,57.85
Bath,BATH TWP H,807,958,495,287,796,62.19,36.06,526,248,791,66.5,31.35,498,291,789,63.12,36.88,17,25,42,40.48,59.52
Boston Heights,BOSTON HTS VILL,923,1102,363,529,907,40.02,58.32,391,483,901,43.4,53.61,354,523,877,40.36,59.64,316,551,867,36.45,63.55
Boston Twp,BOSTON TWP,453,592,208,234,449,46.33,52.12,214,221,446,47.98,49.55,197,237,434,45.39,54.61,193,230,423,45.63,54.37
Copley,COPLEY TWP A,1036,1303,574,434,1020,56.27,42.55,599,406,1021,58.67,39.76,550,448,998,55.11,44.89,487,493,980,49.69,50.31
Copley,COPLEY TWP B,985,1272,556,402,974,57.08,41.27,569,371,969,58.72,38.29,531,421,952,55.78,44.22,480,456,936,51.28,48.72
Copley,COPLEY TWP C,847,1149,443,375,834,53.12,44.96,462,338,823,56.14,41.07,428,376,804,53.23,46.77,390,393,783,49.81,50.19
Copley,COPLEY TWP D,876,1045,497,353,867,57.32,40.72,506,322,851,59.46,37.84,475,360,835,56.89,43.11,414,409,823,50.3,49.7
Copley,COPLEY TWP E,892,1075,509,362,881,57.78,41.09,538,315,877,61.35,35.92,501,365,866,57.85,42.15,441,413,854,51.64,48.36
Copley,COPLEY TWP F,897,1180,485,389,886,54.74,43.91,505,351,881,57.32,39.84,492,382,874,56.29,43.71,436,422,858,50.82,49.18
Copley,COPLEY TWP G,908,1059,420,465,899,46.72,51.72,445,420,890,50,47.19,422,460,882,47.85,52.15,370,501,871,42.48,57.52
Copley,COPLEY TWP H,888,1088,427,439,877,48.69,50.06,447,399,873,51.2,45.7,444,417,861,51.57,48.43,388,450,838,46.3,53.7
Copley,COPLEY TWP I,881,1094,475,391,871,54.54,44.89,485,351,859,56.46,40.86,473,379,852,55.52,44.48,441,395,836,52.75,47.25
Copley,COPLEY TWP J,844,1129,516,311,837,61.65,37.16,527,269,829,63.57,32.45,524,288,812,64.53,35.47,492,301,793,62.04,37.96
Copley,COPLEY TWP K,865,1092,494,356,859,57.51,41.44,516,301,848,60.85,35.5,509,331,840,60.6,39.4,457,359,816,56,44
Copley,COPLEY TWP L,849,1033,309,528,845,36.57,62.49,330,483,832,39.66,58.05,312,505,817,38.19,61.81,275,532,807,34.08,65.92
Cuyahoga Falls,CUY FALLS 1-A,761,1129,399,343,757,52.71,45.31,421,280,737,57.12,37.99,414,320,734,56.4,43.6,405,304,709,57.12,42.88
Cuyahoga Falls,CUY FALLS 1-B,829,1123,427,388,823,51.88,47.14,438,327,806,54.34,40.57,436,360,796,54.77,45.23,413,359,772,53.5,46.5
Cuyahoga Falls,CUY FALLS 1-C,737,1090,429,291,731,58.69,39.81,440,250,710,61.97,35.21,432,275,707,61.1,38.9,403,287,690,58.41,41.59
Cuyahoga Falls,CUY FALLS 1-D,797,1132,485,300,792,61.24,37.88,489,250,766,63.84,32.64,478,280,758,63.06,36.94,455,278,733,62.07,37.93
Cuyahoga Falls,CUY FALLS 2-A,922,1139,516,388,914,56.46,42.45,532,329,901,59.05,36.51,526,361,887,59.3,40.7,507,366,873,58.08,41.92
Cuyahoga Falls,CUY FALLS 2-B,810,1151,434,343,795,54.59,43.14,451,296,790,57.09,37.47,456,317,773,58.99,41.01,421,341,762,55.25,44.75
Cuyahoga Falls,CUY FALLS 2-C,920,1137,542,348,908,59.69,38.33,567,302,905,62.65,33.37,547,347,894,61.19,38.81,524,347,871,60.16,39.84
Cuyahoga Falls,CUY FALLS 2-D,805,1136,477,305,799,59.7,38.17,496,253,781,63.51,32.39,478,279,757,63.14,36.86,460,285,745,61.74,38.26
Cuyahoga Falls,CUY FALLS 3-A,814,1020,419,363,798,52.51,45.49,447,322,804,55.6,40.05,426,363,789,53.99,46.01,389,383,772,50.39,49.61
Cuyahoga Falls,CUY FALLS 3-B,736,1024,407,313,724,56.22,43.23,419,272,711,58.93,38.26,387,310,697,55.52,44.48,368,308,676,54.44,45.56
Cuyahoga Falls,CUY FALLS 3-C,757,988,440,301,752,58.51,40.03,446,265,740,60.27,35.81,461,282,743,62.05,37.95,421,302,723,58.23,41.77
Cuyahoga Falls,CUY FALLS 3-D,840,1008,456,370,832,54.81,44.47,475,334,830,57.23,40.24,458,359,817,56.06,43.94,432,371,803,53.8,46.2
Cuyahoga Falls,CUY FALLS 3-E,831,995,503,317,827,60.82,38.33,506,285,816,62.01,34.93,486,322,808,60.15,39.85,470,325,795,59.12,40.88
Cuyahoga Falls,CUY FALLS 4-A,845,1097,433,389,835,51.86,46.59,456,329,823,55.41,39.98,440,363,803,54.79,45.21,426,356,782,54.48,45.52
Cuyahoga Falls,CUY FALLS 4-B,865,1117,483,355,851,56.76,41.72,505,315,849,59.48,37.1,500,335,835,59.88,40.12,468,343,811,57.71,42.29
Cuyahoga Falls,CUY FALLS 4-C,896,1107,444,428,884,50.23,48.42,481,364,882,54.54,41.27,465,406,871,53.39,46.61,434,415,849,51.12,48.88
Cuyahoga Falls,CUY FALLS 4-D,878,1096,495,356,870,56.9,40.92,527,291,858,61.42,33.92,504,346,850,59.29,40.71,463,359,822,56.33,43.67
Cuyahoga Falls,CUY FALLS 5-A,618,1027,383,217,608,62.99,35.69,387,189,604,64.07,31.29,397,207,604,65.73,34.27,362,215,577,62.74,37.26
Cuyahoga Falls,CUY FALLS 5-B,939,1181,501,413,925,54.16,44.65,529,371,924,57.25,40.15,498,402,900,55.33,44.67,443,425,868,51.04,48.96
Cuyahoga Falls,CUY FALLS 5-C,804,1090,450,327,787,57.18,41.55,470,299,794,59.19,37.66,459,325,784,58.55,41.45,414,355,769,53.84,46.16
Cuyahoga Falls,CUY FALLS 5-D,799,1023,439,343,792,55.43,43.31,450,300,779,57.77,38.51,435,330,765,56.86,43.14,415,347,762,54.46,45.54
Cuyahoga Falls,CUY FALLS 6-A,816,1057,412,387,809,50.93,47.84,437,335,800,54.62,41.88,418,367,785,53.25,46.75,401,363,764,52.49,47.51
Cuyahoga Falls,CUY FALLS 6-B,902,1131,444,438,894,49.66,48.99,470,378,886,53.05,42.66,452,409,861,52.5,47.5,413,436,849,48.65,51.35
Cuyahoga Falls,CUY FALLS 6-C,790,1051,413,362,783,52.75,46.23,445,295,767,58.02,38.46,412,337,749,55.01,44.99,382,350,732,52.19,47.81
Cuyahoga Falls,CUY FALLS 6-D,812,1050,460,336,804,57.21,41.79,472,283,791,59.67,35.78,458,322,780,58.72,41.28,432,334,766,56.4,43.6
Cuyahoga Falls,CUY FALLS 7-A,720,1077,437,268,717,60.95,37.38,448,224,707,63.37,31.68,447,246,693,64.5,35.5,429,246,675,63.56,36.44
Cuyahoga Falls,CUY FALLS 7-B,789,1053,403,370,782,51.53,47.31,411,324,772,53.24,41.97,403,363,766,52.61,47.39,392,360,752,52.13,47.87
Cuyahoga Falls,CUY FALLS 7-C,846,1132,413,416,836,49.4,49.76,436,357,823,52.98,43.38,429,386,815,52.64,47.36,397,391,788,50.38,49.62
Cuyahoga Falls,CUY FALLS 7-D,872,1109,404,444,861,46.92,51.57,439,372,848,51.77,43.87,412,412,824,50,50,382,421,803,47.57,52.43
Cuyahoga Falls,CUY FALLS 8-A,858,1001,412,432,853,48.3,50.64,423,384,835,50.66,45.99,406,410,816,49.75,50.25,360,410,770,46.75,53.25
Cuyahoga Falls,CUY FALLS 8-B,864,1079,426,399,843,50.53,47.33,446,376,844,52.84,44.55,421,407,828,50.85,49.15,385,419,804,47.89,52.11
Cuyahoga Falls,CUY FALLS 8-C,820,992,338,466,811,41.68,57.46,361,415,803,44.96,51.68,328,459,787,41.68,58.32,295,469,764,38.61,61.39
Cuyahoga Falls,CUY FALLS 8-D,881,1058,440,413,868,50.69,47.58,452,386,860,52.56,44.88,445,411,856,51.99,48.01,404,417,821,49.21,50.79
Cuyahoga Falls,CUY FALLS 8-E,837,1031,375,436,822,45.62,53.04,403,405,820,49.15,49.39,354,452,806,43.92,56.08,329,462,791,41.59,58.41
Norton,NORTON 1-A,857,1051,265,571,848,31.25,67.33,292,509,843,34.64,60.38,284,541,825,34.42,65.58,235,573,808,29.08,70.92
Norton,NORTON 1-B,842,1017,319,510,838,38.07,60.86,336,445,817,41.13,54.47,322,482,804,40.05,59.95,288,496,784,36.73,63.27
Norton,NORTON 2-A,757,992,277,466,751,36.88,62.05,296,403,735,40.27,54.83,297,418,715,41.54,58.46,265,436,701,37.8,62.2
Norton,NORTON 2-B,1037,1235,411,608,1029,39.94,59.09,443,550,1018,43.52,54.03,431,567,998,43.19,56.81,368,624,992,37.1,62.9
Norton,NORTON 3-A,1050,1221,378,638,1033,36.59,61.76,418,569,1030,40.58,55.24,388,617,1005,38.61,61.39,336,642,978,34.36,65.64
Norton,NORTON 3-B,872,1082,347,507,866,40.07,58.55,369,455,857,43.06,53.09,361,480,841,42.93,57.07,302,517,819,36.87,63.13
Norton,NORTON 4-A,702,927,231,460,700,33,65.71,248,409,691,35.89,59.19,238,439,677,35.16,64.84,225,440,665,33.83,66.17
Norton,NORTON 4-B,758,972,214,534,755,28.34,70.73,248,465,742,33.42,62.67,221,493,714,30.95,69.05,195,506,701,27.82,72.18
Peninsula Village,PENINSULA VILL,358,434,206,145,355,58.03,40.85,220,127,353,62.32,35.98,211,132,343,61.52,38.48,180,152,332,54.22,45.78
Richfield,RICHFIELD TWP Y,901,1056,351,530,889,39.48,59.62,353,509,878,40.21,57.97,323,536,859,37.6,62.4,271,589,860,31.51,68.49
Richfield,RICHFIELD TWP Z,962,1142,412,524,948,43.46,55.27,429,487,940,45.64,51.81,380,532,912,41.67,58.33,335,589,924,36.26,63.74
Richfield,RICHFIELD VILL A,783,946,310,451,773,40.1,58.34,321,421,755,42.52,55.76,281,451,732,38.39,61.61,241,492,733,32.88,67.12
Richfield,RICHFIELD VILL B,923,1073,382,518,910,41.98,56.92,423,464,906,46.69,51.21,375,505,880,42.61,57.39,304,570,874,34.78,65.22
Richfield,RICHFIELD VILL C,843,1022,318,510,838,37.95,60.86,352,453,830,42.41,54.58,323,479,802,40.27,59.73,282,529,811,34.77,65.23