precinct,ballots_cast,reg_voters,pres_D_name,pres_R_name,pres_D_votes,pres_R_votes,pres_total_votes,pres_D_pct,pres_R_pct,senate_D_name,senate_R_name,senate_D_votes,senate_R_votes,senate_total_votes,senate_D_pct,senate_R_pct,house_D_name,house_R_name,house_D_votes,house_R_votes,house_total_votes,house_D_pct,house_R_pct,st_rep_D_name,st_rep_R_name,st_rep_D_votes,st_rep_R_votes,st_rep_total_votes,st_rep_D_pct,st_rep_R_pct
BARBERTON 1-A,600,935,Kamala Harris,Donald J. Trump,226,363,595,37.98,61.01,Sherrod Brown,Bernie Moreno,254,312,589,43.12,52.97,Emilia Sykes,Kevin Coughlin,238,342,580,41.03,58.97,A. J. Harris,Bill Roemer,213,352,565,37.7,62.3
BARBERTON 1-B,572,867,Kamala Harris,Donald J. Trump,216,343,569,37.96,60.28,Sherrod Brown,Bernie Moreno,229,312,564,40.6,55.32,Emilia Sykes,Kevin Coughlin,234,323,557,42.01,57.99,A. J. Harris,Bill Roemer,209,332,541,38.63,61.37
BARBERTON 1-C,606,873,Kamala Harris,Donald J. Trump,234,363,604,38.74,60.1,Sherrod Brown,Bernie Moreno,262,306,593,44.18,51.6,Emilia Sykes,Kevin Coughlin,254,331,585,43.42,56.58,A. J. Harris,Bill Roemer,236,340,576,40.97,59.03
BARBERTON 2-A,572,904,Kamala Harris,Donald J. Trump,259,301,566,45.76,53.18,Sherrod Brown,Bernie Moreno,272,255,557,48.83,45.78,Emilia Sykes,Kevin Coughlin,265,282,547,48.45,51.55,A. J. Harris,Bill Roemer,242,289,531,45.57,54.43
BARBERTON 2-B,646,923,Kamala Harris,Donald J. Trump,284,345,641,44.31,53.82,Sherrod Brown,Bernie Moreno,309,285,629,49.13,45.31,Emilia Sykes,Kevin Coughlin,296,322,618,47.9,52.1,A. J. Harris,Bill Roemer,287,319,606,47.36,52.64
BARBERTON 2-C,723,944,Kamala Harris,Donald J. Trump,320,383,711,45.01,53.87,Sherrod Brown,Bernie Moreno,351,340,713,49.23,47.69,Emilia Sykes,Kevin Coughlin,333,364,697,47.78,52.22,A. J. Harris,Bill Roemer,287,401,688,41.72,58.28
BARBERTON 3-A,725,1148,Kamala Harris,Donald J. Trump,428,281,719,59.53,39.08,Sherrod Brown,Bernie Moreno,443,242,707,62.66,34.23,Emilia Sykes,Kevin Coughlin,450,250,700,64.29,35.71,A. J. Harris,Bill Roemer,426,264,690,61.74,38.26
BARBERTON 3-B,652,1019,Kamala Harris,Donald J. Trump,368,272,645,57.05,42.17,Sherrod Brown,Bernie Moreno,378,246,645,58.6,38.14,Emilia Sykes,Kevin Coughlin,380,256,636,59.75,40.25,A. J. Harris,Bill Roemer,355,262,617,57.54,42.46
BARBERTON 3-C,859,1027,Kamala Harris,Donald J. Trump,376,456,844,44.55,54.03,Sherrod Brown,Bernie Moreno,400,429,843,47.45,50.89,Emilia Sykes,Kevin Coughlin,395,438,833,47.42,52.58,A. J. Harris,Bill Roemer,354,447,801,44.19,55.81
BARBERTON 4-A,658,1195,Kamala Harris,Donald J. Trump,297,351,654,45.41,53.67,Sherrod Brown,Bernie Moreno,307,294,644,47.67,45.65,Emilia Sykes,Kevin Coughlin,325,308,633,51.34,48.66,A. J. Harris,Bill Roemer,294,319,613,47.96,52.04
BARBERTON 4-B,772,1173,Kamala Harris,Donald J. Trump,344,409,762,45.14,53.67,Sherrod Brown,Bernie Moreno,378,332,752,50.27,44.15,Emilia Sykes,Kevin Coughlin,373,357,730,51.1,48.9,A. J. Harris,Bill Roemer,347,369,716,48.46,51.54
BARBERTON 5-A,775,1179,Kamala Harris,Donald J. Trump,297,458,770,38.57,59.48,Sherrod Brown,Bernie Moreno,339,388,758,44.72,51.19,Emilia Sykes,Kevin Coughlin,325,419,744,43.68,56.32,A. J. Harris,Bill Roemer,288,440,728,39.56,60.44
BARBERTON 5-B,732,1167,Kamala Harris,Donald J. Trump,284,436,723,39.28,60.3,Sherrod Brown,Bernie Moreno,296,363,707,41.87,51.34,Emilia Sykes,Kevin Coughlin,305,395,700,43.57,56.43,A. J. Harris,Bill Roemer,279,400,679,41.09,58.91
BARBERTON 6-A,827,1245,Kamala Harris,Donald J. Trump,304,508,820,37.07,61.95,Sherrod Brown,Bernie Moreno,324,445,806,40.2,55.21,Emilia Sykes,Kevin Coughlin,318,474,792,40.15,59.85,A. J. Harris,Bill Roemer,282,480,762,37.01,62.99
BARBERTON 6-B,963,1231,Kamala Harris,Donald J. Trump,387,554,953,40.61,58.13,Sherrod Brown,Bernie Moreno,421,487,941,44.74,51.75,Emilia Sykes,Kevin Coughlin,410,522,932,43.99,56.01,A. J. Harris,Bill Roemer,369,534,903,40.86,59.14
BATH TWP A,860,1021,Kamala Harris,Donald J. Trump,357,475,845,42.25,56.21,Sherrod Brown,Bernie Moreno,375,451,845,44.38,53.37,Emilia Sykes,Kevin Coughlin,337,495,832,40.5,59.5,A. J. Harris,Bill Roemer,287,539,826,34.75,65.25
BATH TWP B,829,988,Kamala Harris,Donald J. Trump,351,453,813,43.17,55.72,Sherrod Brown,Bernie Moreno,381,410,813,46.86,50.43,Emilia Sykes,Kevin Coughlin,342,462,804,42.54,57.46,A. J. Harris,Bill Roemer,291,502,793,36.7,63.3
BATH TWP C,843,982,Kamala Harris,Donald J. Trump,417,404,837,49.82,48.27,Sherrod Brown,Bernie Moreno,427,395,832,51.32,47.48,Emilia Sykes,Kevin Coughlin,406,410,816,49.75,50.25,A. J. Harris,Bill Roemer,351,458,809,43.39,56.61
BATH TWP D,1068,1270,Kamala Harris,Donald J. Trump,496,543,1057,46.93,51.37,Sherrod Brown,Bernie Moreno,515,516,1057,48.72,48.82,Emilia Sykes,Kevin Coughlin,463,578,1041,44.48,55.52,A. J. Harris,Bill Roemer,427,604,1031,41.42,58.58
BATH TWP E,788,938,Kamala Harris,Donald J. Trump,392,379,781,50.19,48.53,Sherrod Brown,Bernie Moreno,401,348,769,52.15,45.25,Emilia Sykes,Kevin Coughlin,380,385,765,49.67,50.33,A. J. Harris,Bill Roemer,331,428,759,43.61,56.39
BATH TWP F,808,977,Kamala Harris,Donald J. Trump,413,365,796,51.88,45.85,Sherrod Brown,Bernie Moreno,425,355,793,53.59,44.77,Emilia Sykes,Kevin Coughlin,400,385,785,50.96,49.04,A. J. Harris,Bill Roemer,313,391,704,44.46,55.54
BATH TWP G,798,973,Kamala Harris,Donald J. Trump,394,388,791,49.81,49.05,Sherrod Brown,Bernie Moreno,394,380,787,50.06,48.28,Emilia Sykes,Kevin Coughlin,368,405,773,47.61,52.39,A. J. Harris,Bill Roemer,325,446,771,42.15,57.85
BATH TWP H,807,958,Kamala Harris,Donald J. Trump,495,287,796,62.19,36.06,Sherrod Brown,Bernie Moreno,526,248,791,66.5,31.35,Emilia Sykes,Kevin Coughlin,498,291,789,63.12,36.88,A. J. Harris,Bill Roemer,17,25,42,40.48,59.52
BOSTON HTS VILL,923,1102,Kamala Harris,Donald J. Trump,363,529,907,40.02,58.32,Sherrod Brown,Bernie Moreno,391,483,901,43.4,53.61,Emilia Sykes,Kevin Coughlin,354,523,877,40.36,59.64,A. J. Harris,Bill Roemer,316,551,867,36.45,63.55
BOSTON TWP,453,592,Kamala Harris,Donald J. Trump,208,234,449,46.33,52.12,Sherrod Brown,Bernie Moreno,214,221,446,47.98,49.55,Emilia Sykes,Kevin Coughlin,197,237,434,45.39,54.61,A. J. Harris,Bill Roemer,193,230,423,45.63,54.37
COPLEY TWP A,1036,1303,Kamala Harris,Donald J. Trump,574,434,1020,56.27,42.55,Sherrod Brown,Bernie Moreno,599,406,1021,58.67,39.76,Emilia Sykes,Kevin Coughlin,550,448,998,55.11,44.89,A. J. Harris,Bill Roemer,487,493,980,49.69,50.31
COPLEY TWP B,985,1272,Kamala Harris,Donald J. Trump,556,402,974,57.08,41.27,Sherrod Brown,Bernie Moreno,569,371,969,58.72,38.29,Emilia Sykes,Kevin Coughlin,531,421,952,55.78,44.22,A. J. Harris,Bill Roemer,480,456,936,51.28,48.72
COPLEY TWP C,847,1149,Kamala Harris,Donald J. Trump,443,375,834,53.12,44.96,Sherrod Brown,Bernie Moreno,462,338,823,56.14,41.07,Emilia Sykes,Kevin Coughlin,428,376,804,53.23,46.77,A. J. Harris,Bill Roemer,390,393,783,49.81,50.19
COPLEY TWP D,876,1045,Kamala Harris,Donald J. Trump,497,353,867,57.32,40.72,Sherrod Brown,Bernie Moreno,506,322,851,59.46,37.84,Emilia Sykes,Kevin Coughlin,475,360,835,56.89,43.11,A. J. Harris,Bill Roemer,414,409,823,50.3,49.7
COPLEY TWP E,892,1075,Kamala Harris,Donald J. Trump,509,362,881,57.78,41.09,Sherrod Brown,Bernie Moreno,538,315,877,61.35,35.92,Emilia Sykes,Kevin Coughlin,501,365,866,57.85,42.15,A. J. Harris,Bill Roemer,441,413,854,51.64,48.36
COPLEY TWP F,897,1180,Kamala Harris,Donald J. Trump,485,389,886,54.74,43.91,Sherrod Brown,Bernie Moreno,505,351,881,57.32,39.84,Emilia Sykes,Kevin Coughlin,492,382,874,56.29,43.71,A. J. Harris,Bill Roemer,436,422,858,50.82,49.18
COPLEY TWP G,908,1059,Kamala Harris,Donald J. Trump,420,465,899,46.72,51.72,Sherrod Brown,Bernie Moreno,445,420,890,50,47.19,Emilia Sykes,Kevin Coughlin,422,460,882,47.85,52.15,A. J. Harris,Bill Roemer,370,501,871,42.48,57.52
COPLEY TWP H,888,1088,Kamala Harris,Donald J. Trump,427,439,877,48.69,50.06,Sherrod Brown,Bernie Moreno,447,399,873,51.2,45.7,Emilia Sykes,Kevin Coughlin,444,417,861,51.57,48.43,A. J. Harris,Bill Roemer,388,450,838,46.3,53.7
COPLEY TWP I,881,1094,Kamala Harris,Donald J. Trump,475,391,871,54.54,44.89,Sherrod Brown,Bernie Moreno,485,351,859,56.46,40.86,Emilia Sykes,Kevin Coughlin,473,379,852,55.52,44.48,A. J. Harris,Bill Roemer,441,395,836,52.75,47.25
COPLEY TWP J,844,1129,Kamala Harris,Donald J. Trump,516,311,837,61.65,37.16,Sherrod Brown,Bernie Moreno,527,269,829,63.57,32.45,Emilia Sykes,Kevin Coughlin,524,288,812,64.53,35.47,A. J. Harris,Bill Roemer,492,301,793,62.04,37.96
COPLEY TWP K,865,1092,Kamala Harris,Donald J. Trump,494,356,859,57.51,41.44,Sherrod Brown,Bernie Moreno,516,301,848,60.85,35.5,Emilia Sykes,Kevin Coughlin,509,331,840,60.6,39.4,A. J. Harris,Bill Roemer,457,359,816,56,44
COPLEY TWP L,849,1033,Kamala Harris,Donald J. Trump,309,528,845,36.57,62.49,Sherrod Brown,Bernie Moreno,330,483,832,39.66,58.05,Emilia Sykes,Kevin Coughlin,312,505,817,38.19,61.81,A. J. Harris,Bill Roemer,275,532,807,34.08,65.92
CUY FALLS 1-A,761,1129,Kamala Harris,Donald J. Trump,399,343,757,52.71,45.31,Sherrod Brown,Bernie Moreno,421,280,737,57.12,37.99,Emilia Sykes,Kevin Coughlin,414,320,734,56.4,43.6,A. J. Harris,Bill Roemer,405,304,709,57.12,42.88
CUY FALLS 1-B,829,1123,Kamala Harris,Donald J. Trump,427,388,823,51.88,47.14,Sherrod Brown,Bernie Moreno,438,327,806,54.34,40.57,Emilia Sykes,Kevin Coughlin,436,360,796,54.77,45.23,A. J. Harris,Bill Roemer,413,359,772,53.5,46.5
CUY FALLS 1-C,737,1090,Kamala Harris,Donald J. Trump,429,291,731,58.69,39.81,Sherrod Brown,Bernie Moreno,440,250,710,61.97,35.21,Emilia Sykes,Kevin Coughlin,432,275,707,61.1,38.9,A. J. Harris,Bill Roemer,403,287,690,58.41,41.59
CUY FALLS 1-D,797,1132,Kamala Harris,Donald J. Trump,485,300,792,61.24,37.88,Sherrod Brown,Bernie Moreno,489,250,766,63.84,32.64,Emilia Sykes,Kevin Coughlin,478,280,758,63.06,36.94,A. J. Harris,Bill Roemer,455,278,733,62.07,37.93
CUY FALLS 2-A,922,1139,Kamala Harris,Donald J. Trump,516,388,914,56.46,42.45,Sherrod Brown,Bernie Moreno,532,329,901,59.05,36.51,Emilia Sykes,Kevin Coughlin,526,361,887,59.3,40.7,A. J. Harris,Bill Roemer,507,366,873,58.08,41.92
CUY FALLS 2-B,810,1151,Kamala Harris,Donald J. Trump,434,343,795,54.59,43.14,Sherrod Brown,Bernie Moreno,451,296,790,57.09,37.47,Emilia Sykes,Kevin Coughlin,456,317,773,58.99,41.01,A. J. Harris,Bill Roemer,421,341,762,55.25,44.75
CUY FALLS 2-C,920,1137,Kamala Harris,Donald J. Trump,542,348,908,59.69,38.33,Sherrod Brown,Bernie Moreno,567,302,905,62.65,33.37,Emilia Sykes,Kevin Coughlin,547,347,894,61.19,38.81,A. J. Harris,Bill Roemer,524,347,871,60.16,39.84
CUY FALLS 2-D,805,1136,Kamala Harris,Donald J. Trump,477,305,799,59.7,38.17,Sherrod Brown,Bernie Moreno,496,253,781,63.51,32.39,Emilia Sykes,Kevin Coughlin,478,279,757,63.14,36.86,A. J. Harris,Bill Roemer,460,285,745,61.74,38.26
CUY FALLS 3-A,814,1020,Kamala Harris,Donald J. Trump,419,363,798,52.51,45.49,Sherrod Brown,Bernie Moreno,447,322,804,55.6,40.05,Emilia Sykes,Kevin Coughlin,426,363,789,53.99,46.01,A. J. Harris,Bill Roemer,389,383,772,50.39,49.61
CUY FALLS 3-B,736,1024,Kamala Harris,Donald J. Trump,407,313,724,56.22,43.23,Sherrod Brown,Bernie Moreno,419,272,711,58.93,38.26,Emilia Sykes,Kevin Coughlin,387,310,697,55.52,44.48,A. J. Harris,Bill Roemer,368,308,676,54.44,45.56
CUY FALLS 3-C,757,988,Kamala Harris,Donald J. Trump,440,301,752,58.51,40.03,Sherrod Brown,Bernie Moreno,446,265,740,60.27,35.81,Emilia Sykes,Kevin Coughlin,461,282,743,62.05,37.95,A. J. Harris,Bill Roemer,421,302,723,58.23,41.77
CUY FALLS 3-D,840,1008,Kamala Harris,Donald J. Trump,456,370,832,54.81,44.47,Sherrod Brown,Bernie Moreno,475,334,830,57.23,40.24,Emilia Sykes,Kevin Coughlin,458,359,817,56.06,43.94,A. J. Harris,Bill Roemer,432,371,803,53.8,46.2
CUY FALLS 3-E,831,995,Kamala Harris,Donald J. Trump,503,317,827,60.82,38.33,Sherrod Brown,Bernie Moreno,506,285,816,62.01,34.93,Emilia Sykes,Kevin Coughlin,486,322,808,60.15,39.85,A. J. Harris,Bill Roemer,470,325,795,59.12,40.88
CUY FALLS 4-A,845,1097,Kamala Harris,Donald J. Trump,433,389,835,51.86,46.59,Sherrod Brown,Bernie Moreno,456,329,823,55.41,39.98,Emilia Sykes,Kevin Coughlin,440,363,803,54.79,45.21,A. J. Harris,Bill Roemer,426,356,782,54.48,45.52
CUY FALLS 4-B,865,1117,Kamala Harris,Donald J. Trump,483,355,851,56.76,41.72,Sherrod Brown,Bernie Moreno,505,315,849,59.48,37.1,Emilia Sykes,Kevin Coughlin,500,335,835,59.88,40.12,A. J. Harris,Bill Roemer,468,343,811,57.71,42.29
CUY FALLS 4-C,896,1107,Kamala Harris,Donald J. Trump,444,428,884,50.23,48.42,Sherrod Brown,Bernie Moreno,481,364,882,54.54,41.27,Emilia Sykes,Kevin Coughlin,465,406,871,53.39,46.61,A. J. Harris,Bill Roemer,434,415,849,51.12,48.88
CUY FALLS 4-D,878,1096,Kamala Harris,Donald J. Trump,495,356,870,56.9,40.92,Sherrod Brown,Bernie Moreno,527,291,858,61.42,33.92,Emilia Sykes,Kevin Coughlin,504,346,850,59.29,40.71,A. J. Harris,Bill Roemer,463,359,822,56.33,43.67
CUY FALLS 5-A,618,1027,Kamala Harris,Donald J. Trump,383,217,608,62.99,35.69,Sherrod Brown,Bernie Moreno,387,189,604,64.07,31.29,Emilia Sykes,Kevin Coughlin,397,207,604,65.73,34.27,A. J. Harris,Bill Roemer,362,215,577,62.74,37.26
CUY FALLS 5-B,939,1181,Kamala Harris,Donald J. Trump,501,413,925,54.16,44.65,Sherrod Brown,Bernie Moreno,529,371,924,57.25,40.15,Emilia Sykes,Kevin Coughlin,498,402,900,55.33,44.67,A. J. Harris,Bill Roemer,443,425,868,51.04,48.96
CUY FALLS 5-C,804,1090,Kamala Harris,Donald J. Trump,450,327,787,57.18,41.55,Sherrod Brown,Bernie Moreno,470,299,794,59.19,37.66,Emilia Sykes,Kevin Coughlin,459,325,784,58.55,41.45,A. J. Harris,Bill Roemer,414,355,769,53.84,46.16
CUY FALLS 5-D,799,1023,Kamala Harris,Donald J. Trump,439,343,792,55.43,43.31,Sherrod Brown,Bernie Moreno,450,300,779,57.77,38.51,Emilia Sykes,Kevin Coughlin,435,330,765,56.86,43.14,A. J. Harris,Bill Roemer,415,347,762,54.46,45.54
CUY FALLS 6-A,816,1057,Kamala Harris,Donald J. Trump,412,387,809,50.93,47.84,Sherrod Brown,Bernie Moreno,437,335,800,54.62,41.88,Emilia Sykes,Kevin Coughlin,418,367,785,53.25,46.75,A. J. Harris,Bill Roemer,401,363,764,52.49,47.51
CUY FALLS 6-B,902,1131,Kamala Harris,Donald J. Trump,444,438,894,49.66,48.99,Sherrod Brown,Bernie Moreno,470,378,886,53.05,42.66,Emilia Sykes,Kevin Coughlin,452,409,861,52.5,47.5,A. J. Harris,Bill Roemer,413,436,849,48.65,51.35
CUY FALLS 6-C,790,1051,Kamala Harris,Donald J. Trump,413,362,783,52.75,46.23,Sherrod Brown,Bernie Moreno,445,295,767,58.02,38.46,Emilia Sykes,Kevin Coughlin,412,337,749,55.01,44.99,A. J. Harris,Bill Roemer,382,350,732,52.19,47.81
CUY FALLS 6-D,812,1050,Kamala Harris,Donald J. Trump,460,336,804,57.21,41.79,Sherrod Brown,Bernie Moreno,472,283,791,59.67,35.78,Emilia Sykes,Kevin Coughlin,458,322,780,58.72,41.28,A. J. Harris,Bill Roemer,432,334,766,56.4,43.6
CUY FALLS 7-A,720,1077,Kamala Harris,Donald J. Trump,437,268,717,60.95,37.38,Sherrod Brown,Bernie Moreno,448,224,707,63.37,31.68,Emilia Sykes,Kevin Coughlin,447,246,693,64.5,35.5,A. J. Harris,Bill Roemer,429,246,675,63.56,36.44
CUY FALLS 7-B,789,1053,Kamala Harris,Donald J. Trump,403,370,782,51.53,47.31,Sherrod Brown,Bernie Moreno,411,324,772,53.24,41.97,Emilia Sykes,Kevin Coughlin,403,363,766,52.61,47.39,A. J. Harris,Bill Roemer,392,360,752,52.13,47.87
CUY FALLS 7-C,846,1132,Kamala Harris,Donald J. Trump,413,416,836,49.4,49.76,Sherrod Brown,Bernie Moreno,436,357,823,52.98,43.38,Emilia Sykes,Kevin Coughlin,429,386,815,52.64,47.36,A. J. Harris,Bill Roemer,397,391,788,50.38,49.62
CUY FALLS 7-D,872,1109,Kamala Harris,Donald J. Trump,404,444,861,46.92,51.57,Sherrod Brown,Bernie Moreno,439,372,848,51.77,43.87,Emilia Sykes,Kevin Coughlin,412,412,824,50,50,A. J. Harris,Bill Roemer,382,421,803,47.57,52.43
CUY FALLS 8-A,858,1001,Kamala Harris,Donald J. Trump,412,432,853,48.3,50.64,Sherrod Brown,Bernie Moreno,423,384,835,50.66,45.99,Emilia Sykes,Kevin Coughlin,406,410,816,49.75,50.25,A. J. Harris,Bill Roemer,360,410,770,46.75,53.25
CUY FALLS 8-B,864,1079,Kamala Harris,Donald J. Trump,426,399,843,50.53,47.33,Sherrod Brown,Bernie Moreno,446,376,844,52.84,44.55,Emilia Sykes,Kevin Coughlin,421,407,828,50.85,49.15,A. J. Harris,Bill Roemer,385,419,804,47.89,52.11
CUY FALLS 8-C,820,992,Kamala Harris,Donald J. Trump,338,466,811,41.68,57.46,Sherrod Brown,Bernie Moreno,361,415,803,44.96,51.68,Emilia Sykes,Kevin Coughlin,328,459,787,41.68,58.32,A. J. Harris,Bill Roemer,295,469,764,38.61,61.39
CUY FALLS 8-D,881,1058,Kamala Harris,Donald J. Trump,440,413,868,50.69,47.58,Sherrod Brown,Bernie Moreno,452,386,860,52.56,44.88,Emilia Sykes,Kevin Coughlin,445,411,856,51.99,48.01,A. J. Harris,Bill Roemer,404,417,821,49.21,50.79
CUY FALLS 8-E,837,1031,Kamala Harris,Donald J. Trump,375,436,822,45.62,53.04,Sherrod Brown,Bernie Moreno,403,405,820,49.15,49.39,Emilia Sykes,Kevin Coughlin,354,452,806,43.92,56.08,A. J. Harris,Bill Roemer,329,462,791,41.59,58.41
NORTON 1-A,857,1051,Kamala Harris,Donald J. Trump,265,571,848,31.25,67.33,Sherrod Brown,Bernie Moreno,292,509,843,34.64,60.38,Emilia Sykes,Kevin Coughlin,284,541,825,34.42,65.58,A. J. Harris,Bill Roemer,235,573,808,29.08,70.92
NORTON 1-B,842,1017,Kamala Harris,Donald J. Trump,319,510,838,38.07,60.86,Sherrod Brown,Bernie Moreno,336,445,817,41.13,54.47,Emilia Sykes,Kevin Coughlin,322,482,804,40.05,59.95,A. J. Harris,Bill Roemer,288,496,784,36.73,63.27
NORTON 2-A,757,992,Kamala Harris,Donald J. Trump,277,466,751,36.88,62.05,Sherrod Brown,Bernie Moreno,296,403,735,40.27,54.83,Emilia Sykes,Kevin Coughlin,297,418,715,41.54,58.46,A. J. Harris,Bill Roemer,265,436,701,37.8,62.2
NORTON 2-B,1037,1235,Kamala Harris,Donald J. Trump,411,608,1029,39.94,59.09,Sherrod Brown,Bernie Moreno,443,550,1018,43.52,54.03,Emilia Sykes,Kevin Coughlin,431,567,998,43.19,56.81,A. J. Harris,Bill Roemer,368,624,992,37.1,62.9
NORTON 3-A,1050,1221,Kamala Harris,Donald J. Trump,378,638,1033,36.59,61.76,Sherrod Brown,Bernie Moreno,418,569,1030,40.58,55.24,Emilia Sykes,Kevin Coughlin,388,617,1005,38.61,61.39,A. J. Harris,Bill Roemer,336,642,978,34.36,65.64
NORTON 3-B,872,1082,Kamala Harris,Donald J. Trump,347,507,866,40.07,58.55,Sherrod Brown,Bernie Moreno,369,455,857,43.06,53.09,Emilia Sykes,Kevin Coughlin,361,480,841,42.93,57.07,A. J. Harris,Bill Roemer,302,517,819,36.87,63.13
NORTON 4-A,702,927,Kamala Harris,Donald J. Trump,231,460,700,33,65.71,Sherrod Brown,Bernie Moreno,248,409,691,35.89,59.19,Emilia Sykes,Kevin Coughlin,238,439,677,35.16,64.84,A. J. Harris,Bill Roemer,225,440,665,33.83,66.17
NORTON 4-B,758,972,Kamala Harris,Donald J. Trump,214,534,755,28.34,70.73,Sherrod Brown,Bernie Moreno,248,465,742,33.42,62.67,Emilia Sykes,Kevin Coughlin,221,493,714,30.95,69.05,A. J. Harris,Bill Roemer,195,506,701,27.82,72.18
PENINSULA VILL,358,434,Kamala Harris,Donald J. Trump,206,145,355,58.03,40.85,Sherrod Brown,Bernie Moreno,220,127,353,62.32,35.98,Emilia Sykes,Kevin Coughlin,211,132,343,61.52,38.48,A. J. Harris,Bill Roemer,180,152,332,54.22,45.78
RICHFIELD TWP Y,901,1056,Kamala Harris,Donald J. Trump,351,530,889,39.48,59.62,Sherrod Brown,Bernie Moreno,353,509,878,40.21,57.97,Emilia Sykes,Kevin Coughlin,323,536,859,37.6,62.4,A. J. Harris,Bill Roemer,271,589,860,31.51,68.49
RICHFIELD TWP Z,962,1142,Kamala Harris,Donald J. Trump,412,524,948,43.46,55.27,Sherrod Brown,Bernie Moreno,429,487,940,45.64,51.81,Emilia Sykes,Kevin Coughlin,380,532,912,41.67,58.33,A. J. Harris,Bill Roemer,335,589,924,36.26,63.74
RICHFIELD VILL A,783,946,Kamala Harris,Donald J. Trump,310,451,773,40.1,58.34,Sherrod Brown,Bernie Moreno,321,421,755,42.52,55.76,Emilia Sykes,Kevin Coughlin,281,451,732,38.39,61.61,A. J. Harris,Bill Roemer,241,492,733,32.88,67.12
RICHFIELD VILL B,923,1073,Kamala Harris,Donald J. Trump,382,518,910,41.98,56.92,Sherrod Brown,Bernie Moreno,423,464,906,46.69,51.21,Emilia Sykes,Kevin Coughlin,375,505,880,42.61,57.39,A. J. Harris,Bill Roemer,304,570,874,34.78,65.22
RICHFIELD VILL C,843,1022,Kamala Harris,Donald J. Trump,318,510,838,37.95,60.86,Sherrod Brown,Bernie Moreno,352,453,830,42.41,54.58,Emilia Sykes,Kevin Coughlin,323,479,802,40.27,59.73,A. J. Harris,Bill Roemer,282,529,811,34.77,65.23